company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
SD Retail Ltd.,SME,SDREAMS,INE0X6F01017,2,early pivot reclaim,2024-10-17,2024-10-18,159.9,147.11,183.88,2024-10-21,142.5,stop -8%,1,-12.38,0.0
Manba Finance Ltd.,Mainboard,MANBA,INE939X01013,1,early pivot reclaim,2024-10-17,2024-10-18,163.92,150.81,188.51,2024-10-22,146.04,stop -8%,2,-11.91,0.7
Pranik Logistics Ltd.,SME,PRANIK,INE0VJG01014,1,early pivot reclaim,2024-10-18,2024-10-21,91.4,84.09,105.11,2024-10-25,82.65,stop -8%,4,-11.07,0.0
Trom Industries Ltd.,SME,TROM,INE0SYV01018,2,early pivot reclaim,2024-10-21,2024-10-22,223.0,205.16,256.45,2025-02-11,199.2,stop -8%,77,-12.17,20.3
Pelatro Ltd.,SME,PELATRO,INE0VG601013,3,early pivot reclaim,2024-10-23,2024-10-24,300.0,276.0,345.0,2025-01-27,372.0,trail (30% off peak after +15%),64,22.5,79.5
Manba Finance Ltd.,Mainboard,MANBA,INE939X01013,2,early pivot reclaim,2024-10-23,2024-10-24,162.17,149.2,186.5,2024-10-25,142.05,stop -8%,1,-13.41,0.0
Nova AgriTech Ltd.,Mainboard,NOVAAGRI,INE02H701025,3,early pivot reclaim,2024-10-28,2024-10-29,60.0,55.2,69.0,2025-02-14,53.2,stop -8%,75,-12.33,21.3
Pranik Logistics Ltd.,SME,PRANIK,INE0VJG01014,2,early pivot reclaim,2024-10-28,2024-10-29,83.0,76.36,95.45,2024-10-31,76.05,stop -8%,2,-9.87,0.0
Allied Blenders & Distillers Ltd.,Mainboard,ABDL,INE552Z01027,3,early pivot reclaim,2024-10-29,2024-10-30,336.0,309.12,386.4,2024-11-13,308.2,stop -8%,10,-9.27,0.0
Shiv Texchem Ltd.,SME,SHIVTEXCHEM,INE0YRO01015,2,early pivot reclaim,2024-10-29,2024-10-30,272.0,250.24,312.8,2025-01-24,266.0,trail (30% off peak after +15%),59,-3.71,44.8
Danish Power Ltd.,SME,DANISH,INE0YU901016,1,early pivot reclaim,2024-10-30,2024-10-31,659.8,607.02,758.77,2025-01-27,752.35,trail (30% off peak after +15%),59,12.53,88.5
